[2007/09/26 - 13:42:20] tornado-start : Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent
[2007/09/26 - 13:42:21] recalc sharekill for Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent
[2007/09/26 - 13:42:21] seed forever
[2007/09/26 - 13:42:21] executing command : 
cd '/var/www/download/sacarlson/'; HOME='/var/www/download/'; export HOME; nohup /usr/bin/python -OO '/home/oldbox/torrentflux-b4rt_1.0-beta1/html/bin/clients/tornado/tftornado.py' 'False' '0' 'sacarlson' '/var/www/download/.transfers/Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent' --responsefile '/var/www/download/.transfers/Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent' --display_interval 1 --max_download_rate '0' --max_upload_rate '10' --max_uploads '4' --minport '49160' --maxport '49300' --rerequest_interval '1800' --super_seeder '0' --max_connections '40' 1>> '/var/www/download/.transfers/Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent.log' 2>> '/var/www/download/.transfers/Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent.log' &
[2007/09/26 - 13:42:23] tornado starting up :
[2007/09/26 - 13:42:23]  - torrentfile : /var/www/download/.transfers/Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent
[2007/09/26 - 13:42:23]  - userName : sacarlson
[2007/09/26 - 13:42:23]  - transferStatFile : /var/www/download/.transfers/Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent.stat
[2007/09/26 - 13:42:23]  - transferCommandFile : /var/www/download/.transfers/Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent.cmd
[2007/09/26 - 13:42:23]  - transferLogFile : /var/www/download/.transfers/Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent.log
[2007/09/26 - 13:42:23]  - transferPidFile : /var/www/download/.transfers/Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent.pid
[2007/09/26 - 13:42:23]  - autoDie : False
[2007/09/26 - 13:42:23]  - shareKill : 0
[2007/09/26 - 13:42:23]  - minport : 49160
[2007/09/26 - 13:42:23]  - maxport : 49300
[2007/09/26 - 13:42:23]  - max_upload_rate : 10
[2007/09/26 - 13:42:23]  - max_download_rate : 0
[2007/09/26 - 13:42:23]  - min_uploads : 4
[2007/09/26 - 13:42:23]  - max_uploads : 4
[2007/09/26 - 13:42:23]  - min_peers : 20
[2007/09/26 - 13:42:23]  - max_initiate : 40
[2007/09/26 - 13:42:23]  - max_connections : 40
[2007/09/26 - 13:42:23]  - super_seeder : 0
[2007/09/26 - 13:42:23]  - security : 1
[2007/09/26 - 13:42:23]  - auto_kick : 1
[2007/09/26 - 13:42:23]  - crypto_allowed : 0
[2007/09/26 - 13:42:23]  - crypto_only : 0
[2007/09/26 - 13:42:23]  - crypto_stealth : 0
[2007/09/26 - 13:42:23]  - priority : 
[2007/09/26 - 13:42:23]  - alloc_type : normal
[2007/09/26 - 13:42:23]  - alloc_rate : 2.0
[2007/09/26 - 13:42:23]  - buffer_reads : 1
[2007/09/26 - 13:42:23]  - write_buffer_size : 4
[2007/09/26 - 13:42:23]  - check_hashes : 1
[2007/09/26 - 13:42:23]  - max_files_open : 50
[2007/09/26 - 13:42:23]  - upnp_nat_access : 1
[2007/09/26 - 13:42:23] writing pid-file : /var/www/download/.transfers/Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent.pid (8539)
[2007/09/26 - 13:42:23] tornado up and running.
[2007/09/26 - 13:42:25] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 13:43:29] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 13:44:30] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 13:45:30] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 13:46:31] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 13:47:41] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 13:48:45] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 13:49:46] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 13:50:50] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 13:51:51] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 13:52:51] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 13:53:52] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 13:54:53] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 13:56:03] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 13:57:13] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 13:58:14] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 13:59:15] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:00:15] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:01:16] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:02:17] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:03:18] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:04:19] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:05:20] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:06:20] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:07:21] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:08:25] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:09:26] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:10:30] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:11:31] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:12:31] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:13:32] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:14:33] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:15:34] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:16:35] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:17:36] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:18:36] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:19:37] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:20:41] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:21:42] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:22:43] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:23:44] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:24:47] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:25:51] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:26:52] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:27:56] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:28:57] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:29:58] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:30:58] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:31:59] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:33:00] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:34:01] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:35:02] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:36:02] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:37:03] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:38:04] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:39:08] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:40:09] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:41:13] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:42:13] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:43:14] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:44:15] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:45:16] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:46:17] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:47:17] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:48:18] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:49:22] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:50:23] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:51:24] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:52:24] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:53:25] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:54:26] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:55:27] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:56:28] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:57:29] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:58:33] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 14:59:33] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:00:34] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:01:35] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:02:36] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:03:37] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:04:40] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:05:41] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:06:42] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:07:43] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:08:44] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 15:09:45] error: Problem connecting to tracker - (111, 'Connection refused')
